# Known error fingerprints for tools/log_triage.py — fingerprint<TAB>status<TAB>note
#   noise      expected; counted, never listed (unless it spikes across devices)
#   open       known bug, not fixed; listed as one line when it fires
#   fixed:X    fixed in build X (1397), web/portal version X (web 0.21.74), or on date X
#              (YYYY-MM-DD, for SP deploys). Seen at/after X ⇒ REGRESSED.
# Fingerprints must match exactly: copy the ↳ line log_triage.py prints for a NEW one.
# Seeded 2026-09-23 from 30 days of logs.

api hcportal_confirmAuthentication HC6 Portal Error: confirmAuthentication — Authentication failed	noise	portal session expired / clock
api hcportal_getLandingPageData HC6 Portal Error: getLandingPageData — Authentication failed	noise	portal session expired / clock
api hcportal_logClientError HC6 Portal Error: logClientError — Unknown device	fixed:2026-09-24	pre-sign-in reports refused; portal 2.0.85
api publicWeb_getSong HC6 Public Web Error: getSong — Error converting data type nvarchar to uniqueidentifier.	fixed:web 0.21.74	non-GUID song id from a URL returns null → 404 (d37e8868)
app ASYNC "Database" not found. You need to call "Get.put(Database())" or "Get.lazyPut(()=>Database())" @ globals.dart database	open	Get.find<Database> before boot registered it; last 08-31
app ASYNC Bad state: Cannot add new events after calling close @ chat_page_controller.dart ChatPageController._fetchDelta	fixed:1386	write to a disposed chat stream (14 Sep)
app ASYNC Bad state: Cannot add new events after calling close @ chat_page_controller.dart ChatPageController.handleSendPressed	fixed:1386	write to a disposed chat stream (14 Sep)
app ASYNC Bad state: No element @ app_boot_service.dart AppBootService._handleExistingUser	open	'No element' at boot, once on 1327 (09-21)
app ASYNC Bad state: Stream has been disposed. @ flutter ImageStreamCompleter._checkDisposed	noise	Flutter image cache: stream disposed before a chunk event
app ASYNC DatabaseException(Error Domain=SqfliteDarwinDatabase Code=N "unable to open database file" UserInfo={NSLocalizedDescription=unable to open d @ package:sqflite_platform_interface wrapDatabaseException	open	sqflite could not open the DB on iOS; once, 09-01
app ASYNC FormatException: Invalid radix-N number (at character N) @ filter_events_controller.dart FilterEventsController.setRunNumber	fixed:1386	int.parse on '729.5' (16 Sep)
app ASYNC LateInitializationError: Field '_controller' has not been initialized. @ service_common.dart ServiceCommon._showSnackbarSafely.show	fixed:1386	GetX snackbar LateInitializationError (12 Sep)
app ASYNC NoSuchMethodError: Class '_KennelMemberResultsModel' has no instance setter 'kennelEmailAlertPreference='. @ kennel_members.dart KennelMemberListState._getKennelMemberList	fixed:1394	setter on a Freezed model (3f5a4393)
app ASYNC Null check operator used on a null value @ check_in_pack_page_controller.dart CheckInPackController.onHasherTapped	fixed:1386	stale BuildContext for the messenger (16 Sep)
app ASYNC Null check operator used on a null value @ package:get SnackbarController._removeEntry	fixed:1397	closeAllSnackbars' async future escaped try/catch; closeAllSnackbarsSafely (3c621239)
app ASYNC PlatformException(multiple_request, Cancelled by a second request, null, null) @ kennel_photo_service.dart KennelPhotoService._pickImage	noise	image picker double-tap
app ASYNC RangeError (length): Invalid value: Only valid value is N: N @ check_in_pack_page_controller.dart CheckInPackController._processPayment	fixed:1397	stale filteredList[index] after snackbar tap; tapped row passed through (f18479c3)
app ASYNC RangeError (length): Invalid value: Valid value range is empty: N @ check_in_pack_page_controller.dart CheckInPackController.updateRsvpState	fixed:1386	empty SP reply read at [0] → firstRow (17 Sep)
app ASYNC RangeError (length): Invalid value: Valid value range is empty: N @ run_tabs.dart RunTabsState._setRsvpState	fixed:1386	empty SP reply read at [0]; firstRow in run_tabs (f7cf51cb, 18 Sep)
app ASYNC setState() or markNeedsBuild() called during build. @ package:get ObxState._updateTree	open	Obx rebuilding during build; 08-28, pre-3.1
app ASYNC type 'EnumFollowType' is not a subtype of type 'EnumEmailAlertState' @ run_list_item.dart RunListItem._showEmailAlertPopup	fixed:1325	04cd0c7a
app ASYNC type 'EnumFollowType' is not a subtype of type 'EnumEventFilterType' in type cast @ filter_events_page.dart AddEditEventsPageState._listView	fixed:1346	filter_events_page cast (d19f2f3e)
app ASYNC type 'EnumFollowType' is not a subtype of type 'int' @ user_event_list_item.dart UserEventListItem._showRunAttendencePopup	fixed:1325	04cd0c7a
